gamma,num_trajectories,finish_reward,fall_reward,step_reward,epsilon,avg_elapsed_time,std_training_time_per_sample,avg_steps,eval_std_steps,finish_percent
0.9,5000,10,-10,-1,0.01,17.290432313332833,2.418291954680595,67.74444444444445,24.60422778083795,0.9888888888888889
0.99,10000,100,-10,-10,0.01,371.65161010466664,28.28905328498809,65.04444444444444,23.33043368226294,1.0
0.95,1000,10,-1000,-1,1,0.762517287999799,0.09055755763840512,150.0,0.0,0.0
0.99,5000,10,-1000,-10,0.01,304.1519017603332,8.774530201745105,63.4,24.397996274739903,0.9888888888888889
0.99,1000,100,-1000,-1,1,2.6722885696666103,0.500244135303899,76.78888888888889,34.06121758260964,0.9111111111111111
0.99,1000,10,-1000,-10,0.005,716.4771937346662,144.11607695459585,61.02222222222222,22.21059695919834,1.0
0.95,5000,100,-10,-10,0.1,22.03618746833369,1.2102471778469286,73.32222222222222,28.00469316929169,0.9777777777777777
0.9,5000,0,-100,-10,0.1,11.152272982667759,1.0451746267116393,63.94444444444445,23.54775814340395,1.0
0.9,1000,10,-10,-1,1,0.7734532016669012,0.18821436774251177,150.0,0.0,0.0
0.99,1000,10,-100,-1,1,1.3892515219995403,0.14214988616949617,150.0,0.0,0.0
0.9,5000,10,-1000,-10,0.005,95.20623157133377,8.325209213366467,67.4888888888889,23.384821499066653,1.0
0.9,5000,10,-1000,-10,1,3.478993865332692,0.6150935515850321,121.89999999999999,42.04760529579671,0.3333333333333333
0.9,1000,10,-100,0,0.01,0.07341040933291272,0.00047732795582088966,150.0,0.0,0.0
0.9,1000,0,-10,0,1,0.07281942600093316,0.0014927861222000136,150.0,0.0,0.0
0.95,10000,0,-100,0,1,0.1815428173346542,0.004089663147060239,150.0,0.0,0.0
0.95,1000,0,-1000,0,0.01,0.0711671303336819,0.0006102216569480832,150.0,0.0,0.0
0.95,10000,0,-100,0,0.005,0.18044031800066782,0.0036057407153192683,150.0,0.0,0.0
0.95,5000,100,-100,-1,0.01,77.81686615766618,12.267211237627055,65.9888888888889,24.895557142432036,1.0
0.99,10000,100,-1000,0,0.01,43.864322588998526,6.033426507842769,65.02222222222223,24.568714422921314,1.0
0.9,5000,0,-1000,0,0.1,0.12527594566563494,0.000871777412246806,150.0,0.0,0.0
0.99,1000,0,-10,-10,0.01,179.50322374799967,31.98032981403502,65.73333333333333,22.66607842373954,1.0
0.95,5000,10,-10,-10,1,5.205466909332851,0.15450136753464186,62.81111111111111,23.39605590903658,1.0
0.9,10000,100,-10,-1,0.1,18.043869150666676,4.083146108751182,64.55555555555556,22.538417134164064,0.9888888888888889
0.95,10000,0,-100,-10,0.01,151.75356573366784,28.42531047067275,66.8888888888889,26.612630436795083,0.9888888888888889
0.99,5000,10,-100,-10,0.005,556.9774021683334,38.206471746712914,64.22222222222221,24.784304073244858,0.9888888888888889
0.9,5000,100,-10,-1,0.005,110.64395136300057,17.091884508258957,63.144444444444446,24.38558823527222,1.0
0.95,10000,100,-1000,-10,0.005,445.7972952559988,48.74103223356537,64.35555555555555,24.54533724043965,0.9888888888888889
